"Giuseppe";"Rosa";"5846917825";"Giuseppe@rosa.it";"ancora qualcosa"
"Mario";"Rossi";"5558467158";"Mario.Rossi@qualcosa.it";"Qualcosa"
"Maria";"Bianchi";"5554587158";"Maria.Bianchi@qualcosa.it";"Qualcos'altro"
"Giovanna";"Verdi";"5498721358";"Giove@qualcosa.it";""
"Samantha";"Black";"5498721368";"Sam@black.it";""
"Melanie";"Azure";"5814678246";"Mel@Azure.it";"null"
"Fiora";"White";"546813287";"fio@white.it";"null"
"Gisela";"Wraight";"5487154268";"null";"nota di test"
"Constantine";"Valdor";"5548315752";"Valdor@goldenBoys.emp";"null"
"Morven";"Vahl";"5468732158";"a.sororitas@40k.it";"null"
"Maven";"Blackbriar";"548721465";"Maven@Riften.it";"null"
"ulfric";"stormcloak";"null";"null";"skyrim belongs to the nords"
"Jhon";"White";"54813543";"jWhite@something.it";"null"
